state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
DE,2013,3,D,D,4,READING,AD,8.77078388117042
DE,2013,3,D,D,8,MATHEMATICS,BB,28.7354622531611
DE,2013,3,D,D,8,MATHEMATICS,BA,38.5500398927934
DE,2013,3,D,D,8,MATHEMATICS,PR,24.7073656236353
DE,2013,3,D,D,8,MATHEMATICS,AD,8.00713223041019
DE,2013,3,D,D,8,READING,BB,23.473484228797
DE,2013,3,D,D,8,READING,BA,43.1856354741432
DE,2013,3,D,D,8,READING,PR,29.6751980166757
DE,2013,3,D,D,8,READING,AD,3.66568228038411
DE,2015,0,D,D,4,MATHEMATICS,BB,18.2381727174554
DE,2015,0,D,D,4,MATHEMATICS,BA,44.9629580201832
DE,2015,0,D,D,4,MATHEMATICS,PR,31.7192549719077
DE,2015,0,D,D,4,MATHEMATICS,AD,5.07961429045369
DE,2015,0,D,D,4,READING,BB,29.9196284506809
DE,2015,0,D,D,4,READING,BA,32.9652320732061
DE,2015,0,D,D,4,READING,PR,27.9543023972258
DE,2015,0,D,D,4,READING,AD,9.16083707888725
DE,2015,0,D,D,8,MATHEMATICS,BB,31.0495838002081
DE,2015,0,D,D,8,MATHEMATICS,BA,39.421513543429
DE,2015,0,D,D,8,MATHEMATICS,PR,22.4089133079536
DE,2015,0,D,D,8,MATHEMATICS,AD,7.1199893484093
DE,2015,0,D,D,8,READING,BB,26.6125014779165
DE,2015,0,D,D,8,READING,BA,42.3140739226837
DE,2015,0,D,D,8,READING,PR,27.9395030911892
DE,2015,0,D,D,8,READING,AD,3.1339215082106
DE,2017,2,D,D,4,MATHEMATICS,BB,23.2947810812893
DE,2017,2,D,D,4,MATHEMATICS,BA,40.781959286232
DE,2017,2,D,D,4,MATHEMATICS,PR,29.0602593131784
DE,2017,2,D,D,4,MATHEMATICS,AD,6.86300031930026
DE,2017,2,D,D,4,READING,BB,32.8854297776398
DE,2017,2,D,D,4,READING,BA,31.2975100204995
DE,2017,2,D,D,4,READING,PR,26.519773309588
DE,2017,2,D,D,4,READING,AD,9.29728689227274
DE,2017,2,D,D,8,MATHEMATICS,BB,33.8373122741604
DE,2017,2,D,D,8,MATHEMATICS,BA,37.708038213126
DE,2017,2,D,D,8,MATHEMATICS,PR,20.5685360473393
DE,2017,2,D,D,8,MATHEMATICS,AD,7.88611346537428
DE,2017,2,D,D,8,READING,BB,27.8912883434043
DE,2017,2,D,D,8,READING,BA,39.3516563327475
DE,2017,2,D,D,8,READING,PR,28.9983416593492
DE,2017,2,D,D,8,READING,AD,3.75871366449897
DE,2019,4,D,D,4,MATHEMATICS,BB,21.2621176045314
DE,2019,4,D,D,4,MATHEMATICS,BA,39.5966213395811
DE,2019,4,D,D,4,MATHEMATICS,PR,29.7867104359189
DE,2019,4,D,D,4,MATHEMATICS,AD,9.35455061996859
DE,2019,4,D,D,4,READING,BB,37.5799100644388
DE,2019,4,D,D,4,READING,BA,29.9086631305145
DE,2019,4,D,D,4,READING,PR,23.7987061533342
DE,2019,4,D,D,4,READING,AD,8.71272065171243
DE,2019,4,D,D,8,MATHEMATICS,BB,34.7740342365371
DE,2019,4,D,D,8,MATHEMATICS,BA,36.0018992352937
DE,2019,4,D,D,8,MATHEMATICS,PR,22.0146500367742
DE,2019,4,D,D,8,MATHEMATICS,AD,7.20941649139493
DE,2019,4,D,D,8,READING,BB,30.968167395028
DE,2019,4,D,D,8,READING,BA,38.0716736464193
DE,2019,4,D,D,8,READING,PR,27.0075587447761
DE,2019,4,D,D,8,READING,AD,3.95260021377656
DC,2011,1,D,?,4,MATHEMATICS,BB,40.1859129012147
DC,2011,1,D,?,4,MATHEMATICS,BA,38.2511728874338
DC,2011,1,D,?,4,MATHEMATICS,PR,17.4874210923866
DC,2011,1,D,?,4,MATHEMATICS,AD,4.07549311896499
DC,2011,1,D,?,4,READING,BB,56.2279897916453
DC,2011,1,D,?,4,READING,BA,25.002261433821
DC,2011,1,D,?,4,READING,PR,13.2124834439083
DC,2011,1,D,?,4,READING,AD,5.55726533062539
DC,2011,1,D,?,8,MATHEMATICS,BB,51.9796444022111
DC,2011,1,D,?,8,MATHEMATICS,BA,30.9810904995826
DC,2011,1,D,?,8,MATHEMATICS,PR,13.6753226147787
DC,2011,1,D,?,8,MATHEMATICS,AD,3.36394248342764
DC,2011,1,D,?,8,READING,BB,48.9734318569508
DC,2011,1,D,?,8,READING,BA,34.9420649048869
DC,2011,1,D,?,8,READING,PR,14.4567395468664
DC,2011,1,D,?,8,READING,AD,1.62776369129586
DC,2013,3,D,?,4,MATHEMATICS,BB,33.5428623352357
DC,2013,3,D,?,4,MATHEMATICS,BA,38.5633793917267
DC,2013,3,D,?,4,MATHEMATICS,PR,21.6038510719987
DC,2013,3,D,?,4,MATHEMATICS,AD,6.28990720103883
DC,2013,3,D,?,4,READING,BB,50.3492691062283
DC,2013,3,D,?,4,READING,BA,26.6852301662177
DC,2013,3,D,?,4,READING,PR,16.210994565562
DC,2013,3,D,?,4,READING,AD,6.75450616199198
DC,2013,3,D,?,8,MATHEMATICS,BB,46.4080311472078
DC,2013,3,D,?,8,MATHEMATICS,BA,34.75119325777
DC,2013,3,D,?,8,MATHEMATICS,PR,14.6122599680218
DC,2013,3,D,?,8,MATHEMATICS,AD,4.22851562700045
DC,2013,3,D,?,8,READING,BB,42.9318179360013
DC,2013,3,D,?,8,READING,BA,39.6371792268094
DC,2013,3,D,?,8,READING,PR,15.6350105388522
DC,2013,3,D,?,8,READING,AD,1.79599229833716
DC,2015,0,D,?,4,MATHEMATICS,BB,30.8155559901104
DC,2015,0,D,?,4,MATHEMATICS,BA,38.499983204684
DC,2015,0,D,?,4,MATHEMATICS,PR,23.6388568515543
DC,2015,0,D,?,4,MATHEMATICS,AD,7.04560395365123
DC,2015,0,D,?,4,READING,BB,44.3116561103487
DC,2015,0,D,?,4,READING,BA,28.3915468661528
DC,2015,0,D,?,4,READING,PR,18.8850663875258
DC,2015,0,D,?,4,READING,AD,8.41173063597266
DC,2015,0,D,?,8,MATHEMATICS,BB,48.9634548789388
DC,2015,0,D,?,8,MATHEMATICS,BA,31.8933326860262
DC,2015,0,D,?,8,MATHEMATICS,PR,14.8775552388772
DC,2015,0,D,?,8,MATHEMATICS,AD,4.26565719615773
DC,2015,0,D,?,8,READING,BB,43.9799879820314
DC,2015,0,D,?,8,READING,BA,37.4209046812492
