state,year,pres,gov,grade,subject,ald,value
AZ,2003,R,D,8,READING,BA,41.3846301503295
AZ,2003,R,D,8,READING,PR,23.3199495111362
AZ,2003,R,D,8,READING,AD,1.61266975428567
AZ,2005,R,D,4,MATHEMATICS,BB,29.6430890606826
AZ,2005,R,D,4,MATHEMATICS,BA,42.4940774089041
AZ,2005,R,D,4,MATHEMATICS,PR,24.5792943651618
AZ,2005,R,D,4,MATHEMATICS,AD,3.28353916525147
AZ,2005,R,D,4,READING,BB,47.8819762180527
AZ,2005,R,D,4,READING,BA,28.4938348674434
AZ,2005,R,D,4,READING,PR,18.0865122640022
AZ,2005,R,D,4,READING,AD,5.53767665050178
AZ,2005,R,D,8,MATHEMATICS,BB,36.0790606281563
AZ,2005,R,D,8,MATHEMATICS,BA,38.1852061472321
AZ,2005,R,D,8,MATHEMATICS,PR,21.1015499101466
AZ,2005,R,D,8,MATHEMATICS,AD,4.63418331446504
AZ,2005,R,D,8,READING,BB,35.3915096819365
AZ,2005,R,D,8,READING,BA,41.5560708675144
AZ,2005,R,D,8,READING,PR,21.4547670105852
AZ,2005,R,D,8,READING,AD,1.5976524399638
AZ,2007,R,D,4,MATHEMATICS,BB,26.3329292949721
AZ,2007,R,D,4,MATHEMATICS,BA,43.0429920505845
AZ,2007,R,D,4,MATHEMATICS,PR,26.6186060884012
